artist, album, track, timestamp
Bon Iver,For Emma Forever Ago,Skinny Love,16 Dec 2018 04:53
The 1975,The 1975 (Deluxe Version),Me,16 Dec 2018 04:48
Cigarettes After Sex,Cigarettes After Sex,Sweet,16 Dec 2018 04:43
The 1975,I Like It When You Sleep For You Are So Beautiful Yet So Unaware Of It,she lays down,16 Dec 2018 04:40
Triathalon,Nothing Bothers Me,Take It Easy,16 Dec 2018 04:36
Liza Anne,I'm Tired You're Lonely,I'm Tired You're Lonely,16 Dec 2018 04:33
Father John Misty,God's Favorite Customer,The Songwriter,16 Dec 2018 04:29
The Gaslight Anthem,Get Hurt,Break Your Heart,16 Dec 2018 04:25
Slow Dancer,In A Mood,IN A MOOD,16 Dec 2018 04:21
Hozier,Hozier,Cherry Wine - Live,16 Dec 2018 01:35
beabadoobee,Lice,Home Alone,16 Dec 2018 01:33
Frank Pole,Anything,Anything,16 Dec 2018 01:27
Zedd,Clarity,Lost at Sea,16 Dec 2018 01:22
Galantis,Pharmacy,Kill 'Em with the Love,16 Dec 2018 01:18
Cardi B,Invasion Of Privacy,Ring (feat. Kehlani),16 Dec 2018 01:16
Cardi B,Invasion Of Privacy,Best Life (feat. Chance the Rapper),16 Dec 2018 01:11
Cardi B,Invasion Of Privacy,I Like It,16 Dec 2018 01:07
Cardi B,Invasion Of Privacy,Drip (feat. Migos),16 Dec 2018 01:03
Eminem,Revival,Believe,16 Dec 2018 00:48
Eminem,Kamikaze,Venom - Music From The Motion Picture,16 Dec 2018 00:43
Royce da 5'9,Build & Destroy,What The Beat,16 Dec 2018 00:40
Tory Lanez,MiAMi (feat. Gunna),MiAMi (feat. Gunna),16 Dec 2018 00:36
6LACK,Switch,Switch,16 Dec 2018 00:33
Trippie Redd,A Love Letter To You 3,Can't Love,16 Dec 2018 00:30
Key,777 Deluxe,Love On Ice (feat. 6LACK),16 Dec 2018 00:27
Trey Songz,28,Don't Say Shit (feat. Chris Brown & Fabolous),16 Dec 2018 00:24
xxxtentacion,Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),16 Dec 2018 00:22
Ella Mai,Trip,Trip,16 Dec 2018 00:19
Quavo,Quavo Huncho,FLIP THE SWITCH (feat. Drake),16 Dec 2018 00:16
KYLE,Hey Julie! (feat. Lil Yachty),Hey Julie! (feat. Lil Yachty),16 Dec 2018 00:14
Wiz Khalifa,Rolling Papers 2,Hopeless Romantic (feat. Swae Lee),16 Dec 2018 00:10
Eagles,One Of These Nights (Remastered),One Of These Nights - Remastered,
6ix9ine,DUMMY BOY,TIC TOC (feat. Lil Baby),16 Dec 2018 00:08
Trippie Redd,Topanga,Topanga,16 Dec 2018 00:04
Zoey Dollaz,Who Don't Like Dollaz 2,Wish I (feat. Tory Lanez),16 Dec 2018 00:01
Chance the Rapper,My Own Thing,My Own Thing,15 Dec 2018 23:58
Bad Bunny,MIA (feat. Drake),MIA (feat. Drake),15 Dec 2018 23:55
Khalid,Better,Better,15 Dec 2018 23:51
